DATE,COMNAM,TICKER,PERMNO
1997-06-04,SUNGARD DATA SYSTEMS INC,SDS,10108
1986-03-13,FIRST FED S & L ASSN COEUR ID,FCDA,10109
1989-08-14,MOUNTAIN WEST SAVINGS BANK F S B,MWSB,10109
1972-12-14,A D A FINANCIAL SERVICE CORP,,10111
1986-03-13,IFEX INC,IFEX,10112
1988-06-22,ACCLAIM ENTERTAINMENT INC,AKLM,10114
1986-03-14,COMMUNITY SAVINGS BANK MA,CSBN,10115
1986-03-14,HALSEY DRUG INC,HADR,10116
1988-11-30,HALSEY DRUG INC,HDG,10116
2000-09-07,HALSEY DRUG INC,,10116
2004-08-13,ACURA PHARMACEUTICALS INC,,10116
2008-02-04,ACURA PHARMACEUTICALS INC,ACUR,10116
1986-03-17,U M B EQUITIES INC,UMBE,10117
1986-03-18,CONSOLIDATED HYDRO INC,COHY,10118
1986-03-18,20TH CENTURY INDUSTRIES CA,TWEN,10119
1991-09-16,20TH CENTURY INDUSTRIES,TW,10119
2000-01-03,21ST CENTURY INSURANCE GROUP,TW,10119
1986-03-18,PIPER JAFFRAY INC,PIPR,10120
1992-02-28,PIPER JAFFRAY INC,PJC,10120
1993-02-12,PIPER JAFFRAY COS INC,PJC,10120
1986-03-18,MARINE CORP IL,MCOR,10121
1986-03-18,MEDFORD SVGS BK MA,MSBK,10122
1987-08-04,REGIONAL BANCORP INC,REGB,10122
1993-07-23,MEDFORD SAVINGS BANK,MDBK,10122
1997-11-26,MEDFORD BANCORP INC,MDBK,10122
1988-04-21,ACKERLEY COMMUNICATIONS INC,ACMI,10123
1989-09-07,ACKERLEY COMMUNICATIONS INC,AK,10123
1997-02-21,ACKERLEY GROUP INC,AK,10123
1986-03-19,LEARNING TECHNOLOGY INC,LERN,10124
1986-08-07,LEARNING TECHNOLOGY INC,,10124
1986-08-18,LEARNING TECHNOLOGY INC,LERN,10124
1986-03-20,DISCOVERY ASSOCIATES INC,DIVY,10125
1988-09-01,DISCOVERY ASSOCIATES INC,LEOS,10125
1988-09-28,LEOS INDUSTRIES INC,LEOS,10125
1989-12-06,LEOS INDUSTRIES INC,LI,10125
1986-03-20,ONE VALLEY BANCORP WEST VA INC,OVWV,10126
1996-05-02,ONE VALLEY BANCORP INC,OVWV,10126
1997-05-22,ONE VALLEY BANCORP INC,OV,10126
1986-03-25,PARIS BUSINESS FORMS INC,PBFI,10127
1986-03-25,LA MAN CORP,LAMN,10128
1986-04-16,LA MAN CORP,,10128
1986-04-22,LA MAN CORP,LAMN,10128
1986-05-08,LA MAN CORP,,10128
1994-01-07,LA MAN CORP,LAMN,10128
1998-11-03,DISPLAY TECHNOLOGIES INC,DTEK,10128
1986-03-25,NEWNAN FEDERAL S & L ASSN GA,NFSL,10130
1990-01-16,NEWNAN SAVINGS BANK FSB,NFSL,10130
1996-08-23,NEWNAN HOLDINGS INC,NFSL,10130
1997-01-14,FIRST CITIZENS CORP,FSTC,10130
1986-03-26,S B T CORP CT,SBTC,10131
1986-03-26,NATIONAL INDUSTRIAL BANCORP INC,NIBC,10132
1986-03-27,TELEQUEST INC,TELQ,10133
1989-07-24,TELEQUEST INC,,10133
1990-01-26,TELEQUEST INC,TELQ,10133
1986-04-01,EMPIRE GAS CORP NEW,EGCB,10134
1986-04-01,FIRST FEDERAL SVGS ARKANSAS FA,FARK,10135
1986-04-01,COMMUNICATION CABLE INC,CABL,10136
1925-12-31,AMERICAN WATER WORKS & ELEC INC,,10137
1948-01-16,WEST PENN ELECTRIC CO,,10137
1960-11-10,ALLEGHENY POWER SYSTEMS INC,,10137
1962-07-02,ALLEGHENY POWER SYSTEMS INC,AYP,10137
1997-10-01,ALLEGHENY ENERGY INC,AYE,10137
1986-04-02,T ROWE PRICE ASSOC INC,TROW,10138
2000-12-29,T ROWE PRICE GROUP INC,TROW,10138
1988-06-21,ADMIRAL FINANCIAL CORP,ADFC,10139
1986-04-02,SEALRIGHT COMPANY INC,SRCO,10140
1986-04-02,GANDER MOUNTAIN INC,GNDR,10141
1986-04-03,IMTEC INC,IMTC,10142
1986-04-03,ONCOGENE SCIENCE INC,ONCS,10143
1997-10-01,O S I PHARMACEUTICALS INC,OSIP,10143
1986-04-04,NATIONAL INSTITUTE CAREERS INC,NICE,10144
1925-12-31,ALLIED CHEMICAL & DYE CORP,,10145
1958-04-28,ALLIED CHEMICAL CORP,,10145
1962-07-02,ALLIED CHEMICAL CORP,ACD,10145
1981-04-28,ALLIED CORP,ALD,10145
1985-09-19,ALLIED SIGNAL INC,ALD,10145
1999-12-02,HONEYWELL INTERNATIONAL INC,HON,10145
1972-12-14,APPLICATION ENGR CORP,APLI,10146
1982-08-17,A E C INC,AECE,10146
1986-04-04,E M C CORP MA,EMCS,10147
1988-03-22,E M C CORP MA,EMC,10147
1986-04-04,TRADITIONAL INDUSTRIES INC,TRAD,10148
1986-04-04,EAGLE BANCSHARES INC,EBSI,10149
1986-04-04,TRANS LEASING INTL INC,TLII,10150
1997-12-19,TLII LIQUIDATING CORP,TLII,10150
1986-04-08,ADVANCE DISPLAY TECHNOLOGIES INC,ADTI,10152
1925-12-31,ALLIS CHALMERS CORP,,10153
1962-07-02,ALLIS CHALMERS MFG CO,AH,10153
1971-05-12,ALLIS CHALMERS CORP,AH,10153
1972-12-14,AMERICAN ELECTR LABS INC,AELB,10154
1976-10-01,A E L INDUSTRIES INC,AELNA,10154
1986-04-08,ELECTRIC & GAS TECHNOLOGY INC,ELGT,10155
1996-08-12,ELECTRIC & GAS TECHNOLOGY INC,,10155
1996-08-22,ELECTRIC & GAS TECHNOLOGY INC,ELGT,10155
1986-04-08,HANSON JOHN S & L INC,JHSL,10156
1986-08-28,HANSON JOHN SAVINGS BANK FSB,JHSL,10156
1990-11-01,HANSON JOHN BANCORP INC,JHSL,10156
1986-04-08,NORTH SIDE SAVINGS BANK BRONX,NSBK,10157
2010-07-22,AMERESCO INC,AMRC,10158
1986-04-09,INTERFERENCE CONTROL TECHS IND,ICTX,10159
1986-04-10,SANDSPORT DATA SERVICES INC,SAND,10160
1987-07-30,SANDATA INC,SAND,10160
1992-05-06,SANDATA INC,SANDV,10160
1992-06-16,SANDATA INC,SAND,10160
2001-11-30,SANDATA TECHNOLOGIES,SAND,10160
1925-12-31,AMERICAN METAL LTD,,10161
1957-12-30,AMERICAN METAL CLIMAX INC,,10161
1962-07-02,AMERICAN METAL CLIMAX INC,AMX,10161
1974-06-28,AMAX INC,AMX,10161
1973-01-12,A E S TECHNOLOGY SYSTEMS INC,AEST,10162
1986-04-10,X RITE INC,XRIT,10163
1986-04-10,CAMBRIDGE ANALYTICAL ASSOC INC,CAAN,10164
1986-04-11,LAFAYETTE BANCORP INC,LBNK,10165
1986-04-11,LONG LAKE ENERGY CORP,LLEC,10166
1986-04-11,ENCHANTED VILLAGE INC,EVIAA,10167
1987-04-29,ENCHANTED VILLAGE INC,EVAA,10167
1986-04-14,ARNOX CORP,ARNX,10168
1986-04-14,SPORTS MARKETING INC,PADS,10169
1986-04-14,FAMILY STEAK HOUSES FL INC,RYFL,10170
1986-04-14,CHARTWELL GROUP LTD,CTWL,10171
1986-04-16,GRANITE COOP BK NORTH QUINCY MA,GNTE,10172
1987-10-20,GRANITE COOP BK NORTH QUINCY MA,,10172
1987-11-10,GRANITE COOP BK NORTH QUINCY MA,GNTE,10172
1986-04-16,SEABOARD SAVINGS & L ASSN VA BCH,SEAB,10173
1990-11-01,SEABOARD BANCORP INC,SEAB,10173
1986-04-17,JEFFERSON NATIONAL BANK NY,JNBK,10174
1986-04-17,BARRYS JEWELERS INC,BARY,10175
1986-04-18,THERMAL EXPLORATION CO,TECC,10176
1986-04-21,INVESTMENT RES & TECHNOLOGY INC,SFNS,10177
1986-06-05,SPEAR FINANCIAL SERVICES INC,SFNS,10177
1993-04-06,SPEAR FINANCIAL SERVICES INC,JMCG,10177
1993-06-18,J M C GROUP INC,JMCG,10177
1999-09-01,FECHTOR DETWILER MITCHELL & CO,FEDM,10177
2001-03-27,DETWILER MITCHELL & CO,DMCO,10177
1986-04-22,WESTERN PUBLISHING GROUP INC,WPGI,10178
1996-05-09,GOLDEN BOOKS FAMILY ENT INC,GBFE,10178
1986-04-22,ROCHESTER COMMUNITY SVGS BK NY,RCSB,10179
1995-09-01,R C S B FINANCIAL INC,RCSB,10179
1988-04-08,AKORN INC,AKRN,10180
2002-06-25,AKORN INC,,10180
2004-11-24,AKORN INC,AKN,10180
2007-02-07,AKORN INC,AKRX,10180
1986-04-22,MUNICIPAL DEVELOPMENT CORP,MUNI,10181
1986-04-23,TECH DATA CORP,TECD,10182
1986-04-23,E R C INDUSTRIES INC,ERCO,10183
1988-02-29,ALFA INTERNATIONAL CORP,ALFE,10184
1986-04-24,MERRILL CORP,MRLL,10185
1986-04-24,SOUTHWEST CAPITAL CORP,SWCC,10186
1986-04-24,HEALTHPLEX INC,HPLX,10187
1925-12-31,AMERICAN BOSCH MAGNETO CORP,,10188
1930-12-17,UNITED AMERICAN BOSCH CORP,,10188
1938-09-27,AMERICAN BOSCH CORP,,10188
1954-07-21,AMERICAN BOSCH ARMA CORP,,10188
1962-07-02,AMERICAN BOSCH ARMA CORP,AB,10188
1968-04-25,AMBAC INDUSTRIES INC,AB,10188
1972-12-14,A F A PROTECTIVE SYSTEMS INC,AFAP,10189
1986-04-25,COLOROCS CORP,CLRX,10190
1986-04-25,TEXCEL INTERNATIONAL INC,TXEL,10191
1986-04-25,M S CARRIERS INC,MSCA,10192
1986-04-28,RUBICON CORP,RBCN,10193
1987-09-24,RUBICON CORP,,10193
1988-02-05,RUBICON CORP,RBCN,10193
1992-12-07,OSPREY HOLDING INC,OSPY,10193
1986-04-28,SOMERSET GROUP INC,SOMR,10194
1986-04-28,C TEC CORP,CTEXB,10195
1997-10-10,COMMONWEALTH TELE ENTRPS INC,CTCOB,10195
1925-12-31,AMERICAN & FGN PWR INC,,10196
1962-07-02,AMERICAN & FGN PWR INC,AF,10196
1972-12-14,A F C O A,,10197
1986-04-28,DEL PAINT CORP,DELA,10198
1986-04-29,ARBOR DRUGS INC,ARBR,10199
1986-04-29,REPLIGEN CORP,RGEN,10200
1986-04-29,CAPITAL WIRE & CABLE CORP,CWCC,10202
1986-04-30,PIONEER SAVINGS BANK INC NC,PSBN,10203
1988-12-29,PIONEER BANCORP INC,PSBN,10203
1986-05-01,UNITEL CORP,UNTL,10204
1986-05-02,LAWRENCE SAVINGS BANK,LSBX,10205
1988-01-08,INTREX FINANCIAL SERVICES INC,TREX,10205
1991-10-28,LAWRENCE SAVINGS BANK NEW,LSBX,10205
2001-07-02,L S B CORP,LSBX,10205
1986-05-02,EDUCATION SYSTEMS & PUB CORP,ESPC,10206
1986-05-05,INSTRUCTIVISION INC,ISTC,10208
1925-12-31,AMERICAN AGRIC CHEM CO,,10209
1962-07-02,AMERICAN AGRIC CHEM CO,AHD,10209
1986-05-05,FIRST FEDERAL SVGS BK GA WINDER,FSBG,10210
1986-05-05,WESTCORP,WCRP,10211
1988-01-25,WESTCORP,WES,10211
1988-04-11,WESTCORP INC,WES,10211
1986-05-06,INFRASONICS INC,IFRA,10212
1986-05-06,AMERICAN TRAVELLERS CORP,ATVC,10213
1986-05-06,PLASTI LINE INC,SIGN,10214
1986-05-07,UNITED STATES VIDEO VENDING CORP,VVCO,10215
1986-05-07,TRILLING RESOURCES LTD,BURN,10216
1987-11-12,TRILLING MEDICAL TECHS INC,BURN,10216
1988-02-23,TRILLING MEDICAL TECHS INC,,10216
1988-10-31,TRILLING MEDICAL TECHS INC,BURN,10216
1991-05-31,WATER JEL TECHNOLOGIES INC,BURN,10216
1996-08-05,WATER JEL TECHNOLOGIES INC,XCED,10216
1998-02-24,X CEED INC,XCED,10216
1999-02-03,XCEED INC,XCED,10216
2000-11-29,WORLDWIDE XCEED GROUP INC,XCED,10216
1925-12-31,AMERICAN BANK NOTE CO,,10217
1962-07-02,AMERICAN BANK NOTE CO,ABN,10217
1980-10-14,AUTOMATIC FILM PROCESS,AFPC,10218
1982-11-29,A F P IMAGING CORP,AFPC,10218
1986-05-07,TELESIS SYSTEMS CORP,TLSS,10219
2010-08-02,BABCOCK & WILCOX CO NEW,BWC,10220
2015-07-01,B W X TECHNOLOGIES INC,BWXT,10220
1986-05-07,IMAGE MANAGEMENT SYSTEMS INC,IMSR,10221
1986-05-07,FRETTER INC,FTTR,10222
1993-12-08,FRETTER INC,FTTRV,10222
1994-01-19,FRETTER INC,FTTR,10222
1986-05-07,REGENCY CRUISES INC,SHIP,10224
1925-12-31,AMERICAN TOB CO,,10225
1962-07-02,AMERICAN TOB CO,AT,10225
1969-07-01,AMERICAN BRANDS INC,AMB,10225
1997-06-02,FORTUNE BRANDS INC,FO,10225
2011-10-04,BEAM INC,BEAM,10225
1972-12-14,A G C INDUSTRIES INC,,10226
1986-05-07,KIMMINS INDUSTRIAL SERVICE CORP,KISC,10227
1986-09-08,KIMMINS CORP,KISC,10227
1986-05-07,INTERFUND CORP,IFND,10228
1986-05-07,NORTH AMERICAN COMMUNS CORP NEW,NACS,10229
1986-05-08,ANDOVER SAVINGS BANK MASS,ANDB,10230
1987-11-02,ANDOVER BANCORP INC DEL,ANDB,10230
1986-05-08,COMMUNITY BANKSHARES INC NH,CBNH,10231
1986-05-08,ELMIRA SAVINGS BANK FSB NY,ESBK,10232
2012-06-05,ELMIRA SAVINGS BANK NY,ESBK,10232
1925-12-31,FAMOUS PLAYERS LASKY CORP,,10233
1927-04-01,PARAMOUNT FAMOUS LASKY CORP,,10233
1930-04-24,PARAMOUNT PUBLIX CORP,,10233
1935-08-28,PARAMOUNT PICTURES INC,,10233
1949-12-31,UNITED PARAMOUNT THEATRES INC,,10233
1953-02-09,AMERICAN BROADCASTING PARAMOUNT,,10233
1962-07-02,AMERICAN BROADCASTING PARAMOUNT,ABP,10233
1967-12-12,AMERICAN BROADCASTING COS INC,ABC,10233
1972-12-14,A G M INDUSTRIES INC,AGMI,10234
1973-06-22,A G M INDUSTRIES INC,,10234
1973-09-17,A G M INDUSTRIES INC,AGMI,10234
1974-03-04,A G M INDUSTRIES INC,,10234
1979-06-15,A G M INDUSTRIES INC,AGMN,10234
1986-05-08,AMERICAN PASSAGE MRKTING CORP,APAS,10235
1989-02-27,SEATTLE FILMWORKS INC,FOTO,10235
2000-02-01,PHOTOWORKS INC,FOTO,10235
1986-05-08,WEBSTER CLOTHES INC,WEBS,10236
1986-05-08,INTERNATIONAL SURGICAL & PHRM CP,SURG,10237
1986-05-09,BAY VIEW FED S & L ASSN CA,BVFS,10238
1989-08-01,BAY VIEW CAPITAL CORP,BVFS,10238
1997-05-01,BAY VIEW CAPITAL CORP,BVCC,10238
1999-04-01,BAY VIEW CAPITAL CORP,BVC,10238
2006-05-01,GREAT LAKES BANCORP INC NEW,GLK,10238
1986-05-09,BALDWIN & LYONS INC,BWINB,10239
2018-08-01,PROTECTIVE INSURANCE CORP,PTVCB,10239
1986-05-09,WOMENS HEALTH CNTRS OF AMER INC,WOMN,10240
1925-12-31,AMERICAN CAN CO,,10241
1962-07-02,AMERICAN CAN CO,AC,10241
1987-04-28,PRIMERICA CORP,PA,10241
1986-05-12,TRANS FINANCIAL BANCORP INC,TRFI,10242
1995-05-10,TRANS FINANCIAL INC,TRFI,10242
1986-05-12,ATLANTIC FEDERAL SAVINGS BANK MD,AFED,10243
1988-11-08,ATLANFED BANCORP INC,AFED,10243
1986-05-12,DASIBI ENVIRONMENTAL CORP,DSBE,10244
1989-12-28,POLLUTION RESEARCH & CTRL CORP,PRCC,10244
2002-01-31,POLLUTION RESEARCH & CTRL CORP,UDET,10244
1986-05-13,SHELLY ASSOCIATES INC,SHLY,10245
1986-05-13,MID SOUTH INSURANCE CO,MIDS,10246
1986-05-13,GANTOS INC,GTOS,10247
1995-04-03,GANTOS INC NEW,GTOS,10247
1986-05-13,CIMCO,CIMC,10248
